C V1.8   03 FEV 2003    © COPYRIGHT CORREIOS DO BRASIL       TIPOS DE LOGRADOURO               
D6836836A AVENIDA                                                              6A AV           
D5575576A RUA                                                                  6A R            
D5435436A SUBIDA                                                               6A SUB          
D5125126A TRAVESSA                                                             6A TV           
D5585587A RUA                                                                  7A R            
D5135137A TRAVESSA                                                             7A TV           
D5595598A RUA                                                                  8A R            
D5145148A TRAVESSA                                                             8A TV           
D5605609A RUA                                                                  9A R            
D5155159A TRAVESSA                                                             9A TV           
#
